top,jungle,mid,bot,support
Gragas,Ambessa,Annie,Corki,Alistar
Gragas,Ambessa,Annie,Corki,Amumu
Gragas,Ambessa,Annie,Corki,Blitzcrank
Gragas,Ambessa,Annie,Corki,Braum
Gragas,Ambessa,Annie,Corki,Leona
Gragas,Ambessa,Annie,Corki,Maokai
Gragas,Ambessa,Annie,Corki,Nautilus
Gragas,Ambessa,Annie,Corki,Rell
Gragas,Ambessa,Annie,Corki,Tahm Kench
Gragas,Ambessa,Annie,Ezreal,Alistar
Gragas,Ambessa,Annie,Ezreal,Amumu
Gragas,Ambessa,Annie,Ezreal,Blitzcrank
Gragas,Ambessa,Annie,Ezreal,Braum
Gragas,Ambessa,Annie,Ezreal,Leona
Gragas,Ambessa,Annie,Ezreal,Maokai
Gragas,Ambessa,Annie,Ezreal,Nautilus
Gragas,Ambessa,Annie,Ezreal,Rell
Gragas,Ambessa,Annie,Ezreal,Tahm Kench
Gragas,Ambessa,Annie,Jhin,Alistar
Gragas,Ambessa,Annie,Jhin,Amumu
Gragas,Ambessa,Annie,Jhin,Blitzcrank
Gragas,Ambessa,Annie,Jhin,Braum
Gragas,Ambessa,Annie,Jhin,Leona
Gragas,Ambessa,Annie,Jhin,Maokai
Gragas,Ambessa,Annie,Jhin,Nautilus
Gragas,Ambessa,Annie,Jhin,Rell
Gragas,Ambessa,Annie,Jhin,Tahm Kench
Gragas,Ambessa,Annie,Kai'Sa,Alistar
Gragas,Ambessa,Annie,Kai'Sa,Amumu
Gragas,Ambessa,Annie,Kai'Sa,Blitzcrank
Gragas,Ambessa,Annie,Kai'Sa,Braum
Gragas,Ambessa,Annie,Kai'Sa,Leona
Gragas,Ambessa,Annie,Kai'Sa,Maokai
Gragas,Ambessa,Annie,Kai'Sa,Nautilus
Gragas,Ambessa,Annie,Kai'Sa,Rell
Gragas,Ambessa,Annie,Kai'Sa,Tahm Kench
Gragas,Ambessa,Annie,Kog'Maw,Alistar
Gragas,Ambessa,Annie,Kog'Maw,Amumu
Gragas,Ambessa,Annie,Kog'Maw,Blitzcrank
Gragas,Ambessa,Annie,Kog'Maw,Braum
Gragas,Ambessa,Annie,Kog'Maw,Leona
Gragas,Ambessa,Annie,Kog'Maw,Maokai
Gragas,Ambessa,Annie,Kog'Maw,Nautilus
Gragas,Ambessa,Annie,Kog'Maw,Rell
Gragas,Ambessa,Annie,Kog'Maw,Tahm Kench
Gragas,Ambessa,Annie,Miss Fortune,Alistar
Gragas,Ambessa,Annie,Miss Fortune,Amumu
Gragas,Ambessa,Annie,Miss Fortune,Blitzcrank
Gragas,Ambessa,Annie,Miss Fortune,Braum
Gragas,Ambessa,Annie,Miss Fortune,Leona
Gragas,Ambessa,Annie,Miss Fortune,Maokai
Gragas,Ambessa,Annie,Miss Fortune,Nautilus
Gragas,Ambessa,Annie,Miss Fortune,Rell
Gragas,Ambessa,Annie,Miss Fortune,Tahm Kench
Gragas,Ambessa,Annie,Smolder,Alistar
Gragas,Ambessa,Annie,Smolder,Amumu
Gragas,Ambessa,Annie,Smolder,Blitzcrank
Gragas,Ambessa,Annie,Smolder,Braum
Gragas,Ambessa,Annie,Smolder,Leona
Gragas,Ambessa,Annie,Smolder,Maokai
Gragas,Ambessa,Annie,Smolder,Nautilus
Gragas,Ambessa,Annie,Smolder,Rell
Gragas,Ambessa,Annie,Smolder,Tahm Kench
Gragas,Ambessa,Annie,Teemo,Alistar
Gragas,Ambessa,Annie,Teemo,Amumu
Gragas,Ambessa,Annie,Teemo,Blitzcrank
Gragas,Ambessa,Annie,Teemo,Braum
Gragas,Ambessa,Annie,Teemo,Leona
Gragas,Ambessa,Annie,Teemo,Maokai
Gragas,Ambessa,Annie,Teemo,Nautilus
Gragas,Ambessa,Annie,Teemo,Rell
Gragas,Ambessa,Annie,Teemo,Tahm Kench
Gragas,Ambessa,Annie,Varus,Alistar
Gragas,Ambessa,Annie,Varus,Amumu
Gragas,Ambessa,Annie,Varus,Blitzcrank
Gragas,Ambessa,Annie,Varus,Braum
Gragas,Ambessa,Annie,Varus,Leona
Gragas,Ambessa,Annie,Varus,Maokai
Gragas,Ambessa,Annie,Varus,Nautilus
Gragas,Ambessa,Annie,Varus,Rell
Gragas,Ambessa,Annie,Varus,Tahm Kench
Gragas,Ambessa,Brand,Corki,Alistar
