top,jungle,mid,bot,support
Dr. Mundo,Annie,Akshan,Corki,Alistar
Dr. Mundo,Annie,Akshan,Corki,Amumu
Dr. Mundo,Annie,Akshan,Corki,Blitzcrank
Dr. Mundo,Annie,Akshan,Corki,Braum
Dr. Mundo,Annie,Akshan,Corki,Leona
Dr. Mundo,Annie,Akshan,Corki,Maokai
Dr. Mundo,Annie,Akshan,Corki,Nautilus
Dr. Mundo,Annie,Akshan,Corki,Rell
Dr. Mundo,Annie,Akshan,Corki,Tahm Kench
Dr. Mundo,Annie,Akshan,Ezreal,Alistar
Dr. Mundo,Annie,Akshan,Ezreal,Amumu
Dr. Mundo,Annie,Akshan,Ezreal,Blitzcrank
Dr. Mundo,Annie,Akshan,Ezreal,Braum
Dr. Mundo,Annie,Akshan,Ezreal,Leona
Dr. Mundo,Annie,Akshan,Ezreal,Maokai
Dr. Mundo,Annie,Akshan,Ezreal,Nautilus
Dr. Mundo,Annie,Akshan,Ezreal,Rell
Dr. Mundo,Annie,Akshan,Ezreal,Tahm Kench
Dr. Mundo,Annie,Akshan,Jhin,Alistar
Dr. Mundo,Annie,Akshan,Jhin,Amumu
Dr. Mundo,Annie,Akshan,Jhin,Blitzcrank
Dr. Mundo,Annie,Akshan,Jhin,Braum
Dr. Mundo,Annie,Akshan,Jhin,Leona
Dr. Mundo,Annie,Akshan,Jhin,Maokai
Dr. Mundo,Annie,Akshan,Jhin,Nautilus
Dr. Mundo,Annie,Akshan,Jhin,Rell
Dr. Mundo,Annie,Akshan,Jhin,Tahm Kench
Dr. Mundo,Annie,Akshan,Kai'Sa,Alistar
Dr. Mundo,Annie,Akshan,Kai'Sa,Amumu
Dr. Mundo,Annie,Akshan,Kai'Sa,Blitzcrank
Dr. Mundo,Annie,Akshan,Kai'Sa,Braum
Dr. Mundo,Annie,Akshan,Kai'Sa,Leona
Dr. Mundo,Annie,Akshan,Kai'Sa,Maokai
Dr. Mundo,Annie,Akshan,Kai'Sa,Nautilus
Dr. Mundo,Annie,Akshan,Kai'Sa,Rell
Dr. Mundo,Annie,Akshan,Kai'Sa,Tahm Kench
Dr. Mundo,Annie,Akshan,Kog'Maw,Alistar
Dr. Mundo,Annie,Akshan,Kog'Maw,Amumu
Dr. Mundo,Annie,Akshan,Kog'Maw,Blitzcrank
Dr. Mundo,Annie,Akshan,Kog'Maw,Braum
Dr. Mundo,Annie,Akshan,Kog'Maw,Leona
Dr. Mundo,Annie,Akshan,Kog'Maw,Maokai
Dr. Mundo,Annie,Akshan,Kog'Maw,Nautilus
Dr. Mundo,Annie,Akshan,Kog'Maw,Rell
Dr. Mundo,Annie,Akshan,Kog'Maw,Tahm Kench
Dr. Mundo,Annie,Akshan,Miss Fortune,Alistar
Dr. Mundo,Annie,Akshan,Miss Fortune,Amumu
Dr. Mundo,Annie,Akshan,Miss Fortune,Blitzcrank
Dr. Mundo,Annie,Akshan,Miss Fortune,Braum
Dr. Mundo,Annie,Akshan,Miss Fortune,Leona
Dr. Mundo,Annie,Akshan,Miss Fortune,Maokai
Dr. Mundo,Annie,Akshan,Miss Fortune,Nautilus
Dr. Mundo,Annie,Akshan,Miss Fortune,Rell
Dr. Mundo,Annie,Akshan,Miss Fortune,Tahm Kench
Dr. Mundo,Annie,Akshan,Smolder,Alistar
Dr. Mundo,Annie,Akshan,Smolder,Amumu
Dr. Mundo,Annie,Akshan,Smolder,Blitzcrank
Dr. Mundo,Annie,Akshan,Smolder,Braum
Dr. Mundo,Annie,Akshan,Smolder,Leona
Dr. Mundo,Annie,Akshan,Smolder,Maokai
Dr. Mundo,Annie,Akshan,Smolder,Nautilus
Dr. Mundo,Annie,Akshan,Smolder,Rell
Dr. Mundo,Annie,Akshan,Smolder,Tahm Kench
Dr. Mundo,Annie,Akshan,Teemo,Alistar
Dr. Mundo,Annie,Akshan,Teemo,Amumu
Dr. Mundo,Annie,Akshan,Teemo,Blitzcrank
Dr. Mundo,Annie,Akshan,Teemo,Braum
Dr. Mundo,Annie,Akshan,Teemo,Leona
Dr. Mundo,Annie,Akshan,Teemo,Maokai
Dr. Mundo,Annie,Akshan,Teemo,Nautilus
Dr. Mundo,Annie,Akshan,Teemo,Rell
Dr. Mundo,Annie,Akshan,Teemo,Tahm Kench
Dr. Mundo,Annie,Akshan,Varus,Alistar
Dr. Mundo,Annie,Akshan,Varus,Amumu
Dr. Mundo,Annie,Akshan,Varus,Blitzcrank
Dr. Mundo,Annie,Akshan,Varus,Braum
Dr. Mundo,Annie,Akshan,Varus,Leona
Dr. Mundo,Annie,Akshan,Varus,Maokai
Dr. Mundo,Annie,Akshan,Varus,Nautilus
Dr. Mundo,Annie,Akshan,Varus,Rell
Dr. Mundo,Annie,Akshan,Varus,Tahm Kench
Dr. Mundo,Annie,Lucian,Corki,Alistar
Dr. Mundo,Annie,Lucian,Corki,Amumu
Dr. Mundo,Annie,Lucian,Corki,Blitzcrank
Dr. Mundo,Annie,Lucian,Corki,Braum
Dr. Mundo,Annie,Lucian,Corki,Leona
Dr. Mundo,Annie,Lucian,Corki,Maokai
Dr. Mundo,Annie,Lucian,Corki,Nautilus
Dr. Mundo,Annie,Lucian,Corki,Rell
Dr. Mundo,Annie,Lucian,Corki,Tahm Kench
Dr. Mundo,Annie,Lucian,Ezreal,Alistar
