Ranking global (fuente,estrategia,detector: top1,top5)

 1. splash_arts | resize_bbox_only | SIFT: top1=9, top5=9
 2. splash_arts | resize_bbox_only | BRISK: top1=9, top5=9
 3. splash_arts | resize_bbox_only | KAZE: top1=9, top5=9
 4. splash_arts | resize_none | SIFT: top1=9, top5=9
 5. splash_arts | resize_none | ORB: top1=9, top5=9
 6. splash_arts | resize_none | AKAZE: top1=9, top5=9
 7. splash_arts | resize_none | BRISK: top1=9, top5=9
 8. splash_arts | resize_none | KAZE: top1=9, top5=9
 9. loading_screens | resize_none | BRISK: top1=8, top5=9
10. loading_screens | resize_bbox_only | SIFT: top1=8, top5=8
11. loading_screens | resize_bbox_only | BRISK: top1=8, top5=8
12. loading_screens | resize_none | SIFT: top1=8, top5=8
13. loading_screens | resize_none | ORB: top1=8, top5=8
14. loading_screens | resize_none | AKAZE: top1=8, top5=8
15. loading_screens | resize_none | KAZE: top1=8, top5=8
16. icons | resize_bbox_only | SIFT: top1=7, top5=8
17. loading_screens | resize_bbox_only | ORB: top1=7, top5=8
18. icons | resize_none | SIFT: top1=7, top5=7
19. splash_arts | resize_bbox_only | AKAZE: top1=7, top5=7
20. icons | resize_both | SIFT: top1=6, top5=8
21. icons | resize_none | BRISK: top1=6, top5=8
22. icons | resize_db_only | SIFT: top1=6, top5=7
23. loading_screens | resize_bbox_only | KAZE: top1=6, top5=7
24. icons | resize_db_only | BRISK: top1=5, top5=7
25. icons | resize_db_only | KAZE: top1=5, top5=6
26. icons | resize_none | KAZE: top1=5, top5=6
27. icons | resize_db_only | ORB: top1=5, top5=5
28. icons | resize_bbox_only | BRISK: top1=4, top5=6
29. loading_screens | resize_bbox_only | AKAZE: top1=4, top5=6
30. icons | resize_none | ORB: top1=4, top5=5
31. splash_arts | resize_bbox_only | ORB: top1=3, top5=5
32. icons | resize_both | BRISK: top1=2, top5=5
33. icons | resize_none | AKAZE: top1=2, top5=4
34. icons | resize_bbox_only | ORB: top1=2, top5=3
35. icons | resize_bbox_only | KAZE: top1=2, top5=2
36. icons | resize_both | KAZE: top1=1, top5=4
37. loading_screens | resize_db_only | SIFT: top1=1, top5=3
38. splash_arts | resize_db_only | SIFT: top1=1, top5=3
39. icons | resize_db_only | AKAZE: top1=1, top5=2
40. icons | resize_bbox_only | AKAZE: top1=1, top5=1
41. icons | resize_both | ORB: top1=1, top5=1
42. splash_arts | resize_both | SIFT: top1=1, top5=1
43. splash_arts | resize_both | ORB: top1=1, top5=1
44. loading_screens | resize_db_only | BRISK: top1=0, top5=4
45. loading_screens | resize_both | SIFT: top1=0, top5=2
46. loading_screens | resize_both | BRISK: top1=0, top5=2
47. icons | resize_both | AKAZE: top1=0, top5=1
48. loading_screens | resize_db_only | AKAZE: top1=0, top5=1
49. splash_arts | resize_db_only | ORB: top1=0, top5=1
50. splash_arts | resize_db_only | AKAZE: top1=0, top5=1
51. splash_arts | resize_both | KAZE: top1=0, top5=1
52. loading_screens | resize_db_only | ORB: top1=0, top5=0
53. loading_screens | resize_db_only | KAZE: top1=0, top5=0
54. loading_screens | resize_both | ORB: top1=0, top5=0
55. loading_screens | resize_both | AKAZE: top1=0, top5=0
56. loading_screens | resize_both | KAZE: top1=0, top5=0
57. splash_arts | resize_db_only | BRISK: top1=0, top5=0
58. splash_arts | resize_db_only | KAZE: top1=0, top5=0
59. splash_arts | resize_both | AKAZE: top1=0, top5=0
60. splash_arts | resize_both | BRISK: top1=0, top5=0
